"","name","code"
"1","R003","201000"
"2","R007","201001"
"3","R014","201002"
"4","R028","201003"
"5","R091","201004"
"6","R182","201005"
"7","R001","201008"
"8","R002","201009"
"9","R004","201010"
"10","RC001","202001"
"11","RC003","202003"
"12","RC007","202007"
"13","0501R007","203007"
"14","0501R028","203008"
"15","0501R091","203009"
"16","0504R007","203016"
"17","0504R028","203017"
"18","0504R091","203018"
"19","0505R007","203019"
"20","0505R028","203020"
"21","0505R091","203021"
"22","0509R007","203031"
"23","0509R028","203032"
"24","0509R091","203033"
"25","0512R007","203040"
"26","0512R028","203041"
"27","0512R091","203042"
"28","0513R007","203043"
"29","0513R028","203044"
"30","0513R091","203045"
"31","0601R007","203049"
"32","0601R028","203050"
"33","0601R091","203051"
"34","0603R007","203052"
"35","0603R028","203053"
"36","0603R091","203054"
"37","GC001","204001"
"38","GC002","204002"
"39","GC003","204003"
"40","GC004","204004"
"41","GC007","204007"
"42","GC014","204014"
"43","GC028","204028"
"44","GC091","204091"
"45","GC182","204182"
"46","基金金泰","500001"
"47","基金泰和","500002"
"48","基金安信","500003"
"49","基金汉盛","500005"
"50","基金裕阳","500006"
"51","基金景阳","500007"
"52","基金兴华","500008"
"53","基金安顺","500009"
"54","基金金元","500010"
"55","基金金鑫","500011"
"56","基金安瑞","500013"
"57","基金汉兴","500015"
"58","基金裕元","500016"
"59","基金景业","500017"
"60","基金兴和","500018"
"61","基金普润","500019"
"62","基金金鼎","500021"
"63","基金汉鼎","500025"
"64","基金兴业","500028"
"65","基金科讯","500029"
"66","基金汉博","500035"
"67","基金通乾","500038"
"68","基金同德","500039"
"69","基金科瑞","500056"
"70","基金银丰","500058"
"71","国金鑫新","501000"
"72","财通精选","501001"
"73","能源互联","501002"
"74","长信优选","501003"
"75","精准医疗","501005"
"76","互联医疗","501007"
"77","互联医C","501008"
"78","生物科技","501009"
"79","生物科C","501010"
"80","中药基金","501011"
"81","中药C","501012"
"82","财通升级","501015"
"83","券商基金","501016"
"84","国泰融丰","501017"
"85","南方原油","501018"
"86","军工基金","501019"
"87","国企改","501020"
"88","香港中小","501021"
"89","银华鑫盛","501022"
"90","港中小企","501023"
"91","香港银行","501025"
"92","财通福享","501026"
"93","国泰融信","501027"
"94","财通福瑞","501028"
"95","红利基金","501029"
"96","环境治理","501030"
"97","环境C","501031"
"98","财通福盛","501032"
"99","创金睿选","501035"
"100","中证500A","501036"
"101","中证500C","501037"
"102","银华明择","501038"
"103","添富睿丰","501039"
"104","添富睿C","501040"
"105","沪深300A","501043"
"106","沪深300C","501045"
"107","财通福鑫","501046"
"108","全指证券","501047"
"109","证券C","501048"
"110","东证睿玺","501049"
"111","50AH","501050"
"112","圆信汇利","501051"
"113","十年国开","501106"
"114","美元债","501300"
"115","香港大盘","501301"
"116","恒生联接","501302"
"117","恒生中型","501303"
"118","港股高息","501305"
"119","港股高C","501306"
"120","银河高股","501307"
"121","500等权","502000"
"122","500等权A","502001"
"123","500等权B","502002"
"124","军工分级","502003"
"125","军工A","502004"
"126","军工B","502005"
"127","国企改革","502006"
"128","国企改A","502007"
"129","国企改B","502008"
"130","证券分级","502010"
"131","证券A","502011"
"132","证券B","502012"
"133","一带一路","502013"
"134","一带一A","502014"
"135","一带一B","502015"
"136","带路分级","502016"
"137","带路A","502017"
"138","带路B","502018"
"139","国金50","502020"
"140","国金50A","502021"
"141","国金50B","502022"
"142","钢铁分级","502023"
"143","钢铁A","502024"
"144","钢铁B","502025"
"145","新丝路","502026"
"146","新丝路A","502027"
"147","新丝路B","502028"
"148","高铁A","502031"
"149","高铁B","502032"
"150","互联金融","502036"
"151","网金A","502037"
"152","网金B","502038"
"153","上50分级","502040"
"154","上50A","502041"
"155","上50B","502042"
"156","50分级","502048"
"157","上证50A","502049"
"158","上证50B","502050"
"159","券商分级","502053"
"160","券商A","502054"
"161","券商B","502055"
"162","医疗分级","502056"
"163","医疗A","502057"
"164","医疗B","502058"
"165","嘉实元和","505888"
"166","治理ETF","510010"
"167","超大ETF","510020"
"168","价值ETF","510030"
"169","50ETF","510050"
"170","央企ETF","510060"
"171","民企ETF","510070"
"172","责任ETF","510090"
"173","周期ETF","510110"
"174","非周ETF","510120"
"175","中盘ETF","510130"
"176","消费ETF","510150"
"177","小康ETF","510160"
"178","商品ETF","510170"
"179","180ETF","510180"
"180","龙头ETF","510190"
"181","综指ETF","510210"
"182","中小ETF","510220"
"183","金融ETF","510230"
"184","新兴ETF","510260"
"185","国企ETF","510270"
"186","成长ETF","510280"
"187","380ETF","510290"
"188","300ETF","510300"
"189","HS300ETF","510310"
"190","华夏300","510330"
"191","广发300","510360"
"192","国寿300","510380"
"193","平安300","510390"
"194","资源ETF","510410"
"195","180EWETF","510420"
"196","50等权","510430"
"197","500沪市","510440"
"198","180高ETF","510450"
"199","500ETF","510500"
"200","广发500","510510"
"201","诺安500","510520"
"202","国寿500","510560"
"203","ZZ500ETF","510580"
"204","平安500","510590"
"205","能源行业","510610"
"206","材料行业","510620"
"207","消费行业","510630"
"208","金融行业","510650"
"209","医药行业","510660"
"210","万家50","510680"
"211","百强ETF","510700"
"212","上50ETF","510710"
"213","上证50","510800"
"214","上海国企","510810"
"215","红利ETF","510880"
"216","H股ETF","510900"
"217","国债ETF","511010"
"218","企债ETF","511210"
"219","城投ETF","511220"
"220","周期债","511230"
"221","十年国债","511260"
"222","中期信用","511280"
"223","国债十年","511290"
"224","十年债","511310"
"225","货币ETF","511600"
"226","货币基金","511620"
"227","华夏快线","511650"
"228","建信添益","511660"
"229","华泰天金","511670"
"230","安信货币","511680"
"231","交易货币","511690"
"232","场内货币","511700"
"233","德邦货币","511760"
"234","金鹰增益","511770"
"235","易货币","511800"
"236","理财金H","511810"
"237","鹏华添利","511820"
"238","华泰货币","511830"
"239","财富宝E","511850"
"240","博时货币","511860"
"241","银华日利","511880"
"242","景顺货币","511890"
"243","富国货币","511900"
"244","融通货币","511910"
"245","广发货币","511920"
"246","中融日盈","511930"
"247","广发添利","511950"
"248","嘉实快线","511960"
"249","国寿货币","511970"
"250","现金添富","511980"
"251","华宝添益","511990"
"252","券商ETF","512000"
"253","医药ETF","512010"
"254","非银ETF","512070"
"255","MSCI易基","512090"
"256","1000ETF","512100"
"257","中证地产","512110"
"258","医药股基","512120"
"259","MSCI基金","512160"
"260","建信MSCI","512180"
"261","房地产","512200"
"262","景顺食品","512210"
"263","景顺TMT","512220"
"264","景顺医药","512230"
"265","景顺MSCI","512280"
"266","500医药","512300"
"267","500工业","512310"
"268","500信息","512330"
"269","500原料","512340"
"270","有色金属","512400"
"271","中证500","512500"
"272","ETF500","512510"
"273","MSCIETF","512520"
"274","富时A50","512550"
"275","中证军工","512560"
"276","中证证券","512570"
"277","环保ETF","512580"
"278","主要消费","512600"
"279","医药卫生","512610"
"280","金融地产","512640"
"281","军工ETF","512660"
"282","军工基金","512680"
"283","银行基金","512700"
"284","京津冀基","512780"
"285","银行ETF","512800"
"286","军工行业","512810"
"287","证券ETF","512880"
"288","证券基金","512900"
"289","传媒ETF","512980"
"290","MSCIA股","512990"
"291","德国30","513030"
"292","中概互联","513050"
"293","纳指ETF","513100"
"294","标普500","513500"
"295","恒指ETF","513600"
"296","恒生通","513660"
"297","港股精选","513900"
"298","黄金基金","518800"
"299","黄金ETF","518880"
"300","云化CWB1","580012"
"301","武钢CWB1","580013"
"302","深高CWB1","580014"
"303","上汽CWB1","580016"
"304","赣粤CWB1","580017"
"305","石化CWB1","580019"
"306","上港CWB1","580020"
"307","青啤CWB1","580021"
"308","国电CWB1","580022"
"309","康美CWB1","580023"
"310","宝钢CWB1","580024"
"311","葛洲CWB1","580025"
"312","江铜CWB1","580026"
"313","长虹CWB1","580027"
"314","浦发银行","600000"
"315","邯郸钢铁","600001"
"316","齐鲁石化","600002"
"317","ST东北高","600003"
"318","白云机场","600004"
"319","武钢股份","600005"
"320","东风汽车","600006"
"321","中国国贸","600007"
"322","首创股份","600008"
"323","上海机场","600009"
"324","包钢股份","600010"
"325","华能国际","600011"
"326","皖通高速","600012"
"327","华夏银行","600015"
"328","民生银行","600016"
"329","XD日照港","600017"
"330","XD上港集","600018"
"331","XD宝钢股","600019"
"332","中原高速","600020"
"333","上海电力","600021"
"334","山东钢铁","600022"
"335","浙能电力","600023"
"336","华能水电","600025"
"337","中远海能","600026"
"338","华电国际","600027"
"339","中国石化","600028"
"340","南方航空","600029"
"341","中信证券","600030"
"342","三一重工","600031"
"343","福建高速","600033"
"344","XD楚天高","600035"
"345","招商银行","600036"
"346","XD歌华有","600037"
"347","中直股份","600038"
"348","四川路桥","600039"
"349","XD保利地","600048"
"350","中国联通","600050"
"351","宁波联合","600051"
"352","浙江广厦","600052"
"353","九鼎投资","600053"
"354","黄山旅游","600054"
"355","万东医疗","600055"
"356","中国医药","600056"
"357","厦门象屿","600057"
"358","五矿发展","600058"
"359","古越龙山","600059"
"360","海信电器","600060"
"361","国投资本","600061"
"362","华润双鹤","600062"
"363","皖维高新","600063"
"364","南京高科","600064"
"365","*ST联谊","600065"
"366","宇通客车","600066"
"367","冠城大通","600067"
"368","葛洲坝","600068"
"369","银鸽投资","600069"
"370","浙江富润","600070"
"371","凤凰光学","600071"
"372","中船科技","600072"
"373","上海梅林","600073"
"374","*ST保千","600074"
"375","新疆天业","600075"
"376","康欣新材","600076"
"377","宋都股份","600077"
"378","澄星股份","600078"
"379","人福医药","600079"
"380","金花股份","600080"
"381","东风科技","600081"
"382","海泰发展","600082"
"383","博信股份","600083"
"384","中葡股份","600084"
"385","同仁堂","600085"
"386","东方金钰","600086"
"387","退市长油","600087"
"388","中视传媒","600088"
"389","特变电工","600089"
"390","同济堂","600090"
"391","ST明科","600091"
"392","S*ST精密","600092"
"393","易见股份","600093"
"394","大名城","600094"
"395","哈高科","600095"
"396","云天化","600096"
"397","开创国际","600097"
"398","广州发展","600098"
"399","林海股份","600099"
"400","同方股份","600100"
"401","明星电力","600101"
